Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
292,48,0,60418.27734375,113,4.389074812039765,-12792.78416905567,-19998157.877497997
293,299,8,17690.744140625,113,4.389074812039765,-57968.568824442016,-20056126.446322437
294,299,34,14983.7998046875,113,4.389074812039765,-113207.93766734058,-20169334.383989777
295,299,4,19908.966796875,113,4.389074812039765,-143633.14112941583,-20312967.525119193
296,299,6,14385.8828125,113,4.389074812039765,-150731.08458608587,-20463698.60970528
297,299,9,11928.640625,113,4.389074812039765,-115589.97201739506,-20579288.581722677
298,265,3,13992.3515625,114,4.389074812039765,-152221.69910801065,-20731510.28083069
299,162,5,28006.109375,115,4.389074812039765,-81844.77751712881,-20813355.058347818
300,299,9,97017.3125,115,4.389074812039765,-21776.143914212043,-20835131.20226203
301,299,10,1915.1279296875,115,4.169621071437777,-80492.29024789389,-20915623.492509924
302,299,7,146888.546875,115,4.169621071437777,-118714.74011625098,-21034338.232626174
303,208,6,37282.421875,116,4.169621071437777,-86218.68968933105,-21120556.922315504
304,229,9,71863.7421875,117,4.169621071437777,-88107.90728858074,-21208664.829604086
305,299,13,69514.46875,117,4.169621071437777,-140720.77084893256,-21349385.60045302
306,299,8,13910.8623046875,117,4.169621071437777,-73782.44924537733,-21423168.049698398
307,67,0,126969.9296875,118,4.169621071437777,3732.676689900531,-21419435.373008497
308,299,1,218009.890625,118,4.169621071437777,-53153.7591479295,-21472589.132156428
309,30,0,87421.75,119,4.169621071437777,-15464.260293331074,-21488053.39244976
310,299,7,28523.0703125,119,4.169621071437777,-233894.19480039238,-21721947.58725015
311,299,5,87689.90625,119,4.169621071437777,-106918.14340381855,-21828865.730653968
312,299,6,11417.9814453125,119,4.169621071437777,-156379.1999072849,-21985244.930561252
313,299,19,78498.1875,119,4.169621071437777,-58983.591966154076,-22044228.522527408
314,30,0,55728.10546875,120,4.169621071437777,1046.7497506176246,-22043181.77277679
315,299,2,64552.39453125,120,4.169621071437777,-120301.44926831534,-22163483.222045105
316,299,9,96684.3203125,120,4.169621071437777,-99557.64448002169,-22263040.86652513
317,254,8,240017.75,121,4.169621071437777,-79803.70120631375,-22342844.567731444
318,299,0,8172.11328125,121,4.169621071437777,-99867.63376270284,-22442712.201494146
319,299,57,58299.21875,121,4.169621071437777,-70883.12430823769,-22513595.325802382
