Episode,Epsilon,Instant Reward,Cummulative Reward
218,6.516049999999999,12742.381199269219,4841051.719479607
219,6.516049999999999,17281.055771896776,4858332.775251504
220,6.516049999999999,26513.079370985823,4884845.85462249
221,6.516049999999999,18258.490892096925,4903104.345514587
222,6.516049999999999,26393.310576030213,4929497.656090617
223,6.516049999999999,22473.497099044693,4951971.153189662
224,6.516049999999999,26394.739102634263,4978365.8922922965
225,6.516049999999999,23683.555857230836,5002049.448149527
226,6.516049999999999,25341.177817323292,5027390.625966851
227,6.516049999999999,25537.536603750046,5052928.1625706
228,6.516049999999999,10348.952972138895,5063277.11554274
229,6.516049999999999,26935.43559509726,5090212.551137837
230,6.516049999999999,25578.167249272872,5115790.718387109
231,6.516049999999999,27192.420215888334,5142983.138602997
232,6.516049999999999,17237.78988396364,5160220.928486961
233,6.516049999999999,26179.215929594207,5186400.144416555
234,6.516049999999999,8436.688212492118,5194836.832629047
235,6.516049999999999,24808.34155624871,5219645.174185296
236,6.516049999999999,26536.08891355948,5246181.2630988555
237,6.516049999999999,25494.816556396352,5271676.0796552515
238,6.516049999999999,25625.35842625943,5297301.438081511
239,6.516049999999999,25772.086652886388,5323073.524734397
240,6.516049999999999,27140.5665273036,5350214.091261701
241,6.516049999999999,25583.60844340309,5375797.699705103
242,6.516049999999999,26000.160315442125,5401797.860020545
243,6.516049999999999,17053.02964066385,5418850.889661209
244,6.516049999999999,13875.13062785885,5432726.020289067
245,6.516049999999999,11272.530719760418,5443998.551008828
246,6.516049999999999,25597.06971965715,5469595.620728485
247,6.516049999999999,24538.02833976554,5494133.649068251
248,6.516049999999999,22619.12552954456,5516752.774597796
249,6.516049999999999,18399.803368057197,5535152.577965853
250,6.516049999999999,25926.722277582514,5561079.300243435
251,6.190247499999999,25661.41696008646,5586740.717203522
252,6.190247499999999,25384.374979910943,5612125.0921834335
253,6.190247499999999,24248.57960941812,5636373.671792852
254,6.190247499999999,4441.147528399132,5640814.819321251
255,6.190247499999999,26040.75673989006,5666855.576061141
256,6.190247499999999,26330.549370036915,5693186.125431177
257,6.190247499999999,8322.775205104363,5701508.900636282
258,6.190247499999999,23794.8316546511,5725303.732290933
259,6.190247499999999,26257.450515539243,5751561.182806472
260,6.190247499999999,25397.88975891085,5776959.072565383
261,6.190247499999999,27131.507687967627,5804090.580253351
262,6.190247499999999,26477.520382431947,5830568.100635783
263,6.190247499999999,26385.52028401241,5856953.620919795
264,6.190247499999999,4062.4612671192644,5861016.082186914
265,6.190247499999999,13852.23942304327,5874868.321609957
266,6.190247499999999,22593.653367966166,5897461.974977924
267,6.190247499999999,26390.76249549662,5923852.73747342
268,6.190247499999999,26249.633667725906,5950102.371141146
269,6.190247499999999,26205.95377794311,5976308.324919089
270,6.190247499999999,13835.925921728256,5990144.250840817
271,6.190247499999999,26787.64993573616,6016931.900776553
272,6.190247499999999,25738.223150132966,6042670.123926686
273,6.190247499999999,27059.030016625933,6069729.153943312
274,6.190247499999999,26276.296876414857,6096005.450819727
275,6.190247499999999,26393.43266724787,6122398.883486975
276,6.190247499999999,4905.800404995749,6127304.683891971
277,6.190247499999999,24853.15068809761,6152157.8345800685
278,6.190247499999999,25377.64326108191,6177535.47784115
279,6.190247499999999,14132.997735620496,6191668.4755767705
280,6.190247499999999,24173.363496134298,6215841.839072905
281,6.190247499999999,25570.391296020058,6241412.230368924
282,6.190247499999999,26570.501399524208,6267982.731768449
283,6.190247499999999,3527.7101855759465,6271510.441954025
284,6.190247499999999,15232.254971447579,6286742.6969254725
285,6.190247499999999,26625.80449732521,6313368.501422797
286,6.190247499999999,25109.63379944784,6338478.135222245
287,6.190247499999999,24713.074092979394,6363191.209315225
288,6.190247499999999,24261.53640250166,6387452.745717727
289,6.190247499999999,24879.326207587394,6412332.071925314
290,6.190247499999999,26089.679890071915,6438421.751815386
291,6.190247499999999,26797.96080853834,6465219.712623924
292,6.190247499999999,22563.519830125522,6487783.232454049
293,6.190247499999999,27120.402212890654,6514903.63466694
294,6.190247499999999,26309.766416877817,6541213.401083818
295,6.190247499999999,25043.05267989342,6566256.453763711
296,6.190247499999999,26588.319824800248,6592844.773588511
297,6.190247499999999,21669.81338214261,6614514.586970653
298,6.190247499999999,21838.05568281766,6636352.642653471
299,6.190247499999999,23100.228820943405,6659452.871474414
300,6.190247499999999,4333.808148863246,6663786.679623277
301,5.880735124999998,10001.24760954143,6673787.927232819
302,5.880735124999998,13335.380329487632,6687123.3075623065
303,5.880735124999998,5679.48485277384,6692802.792415081
304,5.880735124999998,26032.39054442384,6718835.182959504
305,5.880735124999998,21289.01227503459,6740124.195234539
306,5.880735124999998,24889.473013964438,6765013.6682485035
307,5.880735124999998,25600.08836375217,6790613.756612255
308,5.880735124999998,26142.425354659867,6816756.181966915
309,5.880735124999998,20903.991190956225,6837660.173157871
310,5.880735124999998,26925.54817145601,6864585.721329327
311,5.880735124999998,25982.9264959823,6890568.647825309
312,5.880735124999998,25907.190549778796,6916475.838375088
313,5.880735124999998,25601.840617513488,6942077.678992601
314,5.880735124999998,27154.695560238568,6969232.374552839
315,5.880735124999998,24003.838015252586,6993236.212568092
316,5.880735124999998,25987.02304507778,7019223.23561317
317,5.880735124999998,26640.67870307375,7045863.9143162435
318,5.880735124999998,26063.055451435728,7071926.969767679
319,5.880735124999998,14452.188175350346,7086379.15794303
320,5.880735124999998,25795.09664499162,7112174.254588022
321,5.880735124999998,24788.46180317537,7136962.716391197
322,5.880735124999998,25714.88386056008,7162677.600251758
323,5.880735124999998,22475.286211850183,7185152.886463608
324,5.880735124999998,21178.626427228013,7206331.512890835
325,5.880735124999998,26718.469225179917,7233049.982116016
326,5.880735124999998,25711.16317897812,7258761.145294994
327,5.880735124999998,27236.8147484271,7285997.960043421
328,5.880735124999998,26211.21830854574,7312209.178351967
329,5.880735124999998,26403.071437912655,7338612.24978988
330,5.880735124999998,14533.908827497668,7353146.158617377
331,5.880735124999998,25513.725854729724,7378659.884472107
332,5.880735124999998,20089.410993793223,7398749.2954659
333,5.880735124999998,13674.22937579031,7412423.5248416895
334,5.880735124999998,9832.321204782284,7422255.846046472
335,5.880735124999998,25725.79692452418,7447981.642970996
336,5.880735124999998,12239.990296929958,7460221.633267926
337,5.880735124999998,26023.526605352283,7486245.159873278
338,5.880735124999998,24982.62380703482,7511227.783680312
339,5.880735124999998,25839.732172836833,7537067.515853149
340,5.880735124999998,8903.212478098128,7545970.728331247
341,5.880735124999998,26425.090931647097,7572395.819262895
342,5.880735124999998,26049.988954747703,7598445.808217643
343,5.880735124999998,16636.71172981178,7615082.519947454
344,5.880735124999998,26395.54343840636,7641478.063385861
345,5.880735124999998,26568.150129092024,7668046.213514953
346,5.880735124999998,25844.889282939723,7693891.102797893
347,5.880735124999998,26931.307739292726,7720822.410537185
348,5.880735124999998,18275.737527431807,7739098.148064617
349,5.880735124999998,24575.305060508806,7763673.453125126
350,5.880735124999998,24878.41095253952,7788551.864077665
351,5.586698368749998,26174.629000997385,7814726.493078662
352,5.586698368749998,20820.159217004795,7835546.652295667
353,5.586698368749998,16735.696499613296,7852282.34879528
354,5.586698368749998,26196.79731660185,7878479.146111881
355,5.586698368749998,25620.61167367971,7904099.7577855615
356,5.586698368749998,23516.48323761651,7927616.241023178
357,5.586698368749998,26726.93450390417,7954343.175527083
358,5.586698368749998,26640.759746731404,7980983.935273814
359,5.586698368749998,26331.268805877135,8007315.204079691
360,5.586698368749998,18083.632967026457,8025398.837046718
361,5.586698368749998,24921.651655059846,8050320.488701778
362,5.586698368749998,26315.826937069593,8076636.315638848
363,5.586698368749998,26178.891501339556,8102815.207140187
364,5.586698368749998,13591.57282075504,8116406.7799609415
365,5.586698368749998,25834.744550672665,8142241.524511614
366,5.586698368749998,25870.59032390087,8168112.114835515
367,5.586698368749998,26150.305254812167,8194262.420090327
368,5.586698368749998,25890.172074915048,8220152.592165242
369,5.586698368749998,25832.621614091524,8245985.213779333
370,5.586698368749998,25252.160183155516,8271237.373962489
371,5.586698368749998,26041.054102826693,8297278.428065316
372,5.586698368749998,25175.95925162669,8322454.387316942
373,5.586698368749998,27349.257591555346,8349803.644908497
