2019-04-13 00:18:13.578504, duration (m), 2.86778646708, ep, 133, epsilon, 4.10673666624, ep_reward, 5748.32765392, total reward, 45851.8719263
2019-04-13 00:22:12.670062, duration (m), 2.40618648132, ep, 134, epsilon, 4.10673666624, ep_reward, -1100.08350784, total reward, 44751.7884185
2019-04-13 00:26:37.189663, duration (m), 2.86586571534, ep, 135, epsilon, 4.10673666624, ep_reward, 4984.83124263, total reward, 49736.6196611
2019-04-13 00:29:11.626793, duration (m), 1.00727496545, ep, 136, epsilon, 4.10673666624, ep_reward, -765.927410122, total reward, 48970.692251
2019-04-13 00:33:41.679763, duration (m), 2.89515060186, ep, 137, epsilon, 4.10673666624, ep_reward, -314.201014045, total reward, 48656.491237
2019-04-13 00:36:25.688505, duration (m), 1.16251831849, ep, 138, epsilon, 4.10673666624, ep_reward, -692.901737159, total reward, 47963.5894998
2019-04-13 00:40:51.189641, duration (m), 2.87784143686, ep, 139, epsilon, 4.10673666624, ep_reward, 345.360131552, total reward, 48308.9496313
2019-04-13 00:45:17.329697, duration (m), 2.87657131354, ep, 140, epsilon, 4.10673666624, ep_reward, 2180.31303713, total reward, 50489.2626685
2019-04-13 00:49:57.290810, duration (m), 2.87874193589, ep, 141, epsilon, 3.90139983292, ep_reward, 2689.95766432, total reward, 53179.2203328
2019-04-13 00:54:23.440965, duration (m), 2.89533533255, ep, 142, epsilon, 3.90139983292, ep_reward, 2354.83968142, total reward, 55534.0600142
2019-04-13 00:57:16.630784, duration (m), 1.33029886484, ep, 143, epsilon, 3.90139983292, ep_reward, -868.046252105, total reward, 54666.0137621
2019-04-13 01:01:44.404343, duration (m), 2.90957688093, ep, 144, epsilon, 3.90139983292, ep_reward, 3233.97856197, total reward, 57899.9923241
2019-04-13 01:06:11.289251, duration (m), 2.88883705139, ep, 145, epsilon, 3.90139983292, ep_reward, 6166.36401763, total reward, 64066.3563417
2019-04-13 01:10:38.410787, duration (m), 2.89794919888, ep, 146, epsilon, 3.90139983292, ep_reward, 354.907926326, total reward, 64421.264268
2019-04-13 01:15:03.566787, duration (m), 2.888763086, ep, 147, epsilon, 3.90139983292, ep_reward, 7219.94332816, total reward, 71641.2075962
2019-04-13 01:19:31.193122, duration (m), 2.89933981498, ep, 148, epsilon, 3.90139983292, ep_reward, -3061.42831729, total reward, 68579.7792789
2019-04-13 01:23:58.014844, duration (m), 2.90364506642, ep, 149, epsilon, 3.90139983292, ep_reward, 1255.72012433, total reward, 69835.4994032
